ID,PRODUCTO,UNIDAD,PRESENTACION,PRECIO UNITARIO,PESO,
160247,Tablillas para preparar chocolate  Chocolate amargo,pz,1,110,250 grs,
160248,Cacao garapiñado ,pz,1,95,150 grs,
160249,Mix de cacao (cacao fermentado y cacao jaguar),pz,1,110,200 grs,
160250,Barra de chocolate MAMA PACHA Vainilla y nibs de cacao,barra,1,85,70 grs,
160251,Barra de chocolate MAMA PACHA Mango,barra,1,85,70 grs,
160252,Barra de chocolate MAMA PACHA Mora azul,barra,1,85,70 grs,
160253,Barra de chocolate MAMA PACHA Soconusco,barra,1,85,70 grs,
160254,Barra de chocolate MAMA PACHA Almendras y sal de mar,barra,1,85,70 grs,
1309,Chocolate untable la perdicion ,bote,1,65,130 grs,
160256,Albondigas de avena y okara  16unids,paq,1,90,,
160257,Falafel (unstock),grs,300,85,300 grs,
170258,"Hamburguesas de lentejas, amaranto y arroz integral",paq,1,90,,
170259,Chorizos veganos,pz,1,70,150 grs,
170260,Chorizo veganos Estilo Toluca,pz,1,70,150 grs,
170261,Queso vegano semiduro Curcuma,pz,1,70,200 grs,
170262,Queso vegano semiduro Pimenton,pz,1,70,200 grs,
170263,Queso untable de almendra o nuez de la india.,pz,1,85,250 grs,
170264,Queso botanero de almendra ,pz,1,88,250 grs,
170265,"Yogurt vegano de coco zahini natural, mango o zarzamora",pz,1,149,450 ml,
170266,Consome de verduras,pz,1,75,60 grs,
170267,Humus de garbanzo,pz,1,60,250 grs,
170268,"Tallarines chile poblano, hierbas, betabel, curcuma, espirulina, huitlacoche o tomate ",grs,100,35,100 grs,
170269,Lasagna de espirulina 8 laminas ,paq,1,40,,
1409,Lasagna de curcuma 8 laminas ,paq,1,40,,
180271,Pechuga de pavo natural(jamon),pz,1,90,250 grs,
180272,Pechuga de pavo horneada(jamon),pz,1,90,250 grs,
180273,Pavo estilo italiano(jamon),pz,1,85,250 grs,
180274,Pierna de cerdo ahumada(jamon),pz,1,75,250 grs,
180275,Jamon serrano 100gr,pz,1,80,100 grs,
180276,Jamon serrano 190gr,pz,1,150,190 grs,
180277,Lomo con almendras(jamon),pz,1,85,250 grs,
180278,Roast beef (jamon),pz,1,105,250 grs,
180279,Jamon de conejo,0,1,90,,
180280,Salami madurado,0,1,95,,
180281,Salami natural,0,1,90,,
200282,Salami pamplona,0,1,90,,
200283,Tocino con grasa ,pz,1,80,250 grs,
200284,Tocino sin grasa,pz,1,80,250 grs,
200285,Queso manchego con jamon serrano,pz,1,90,250 grs,
200286,Queso manchego con arandanos ,pz,1,90,250 grs,
200287,Queso manchego con chile de arbol,pz,1,90,250 grs,
200288,Queso manchego con chipotle,pz,1,90,250 grs,
200289,Queso gouda,pz,1,90,250 grs,
200290,Provolone a las finas hierbas,pz,1,85,250 grs,
200291,salchicha al curry 4 piezas 433grs,pz,1,140,433 grs,
200292,Chorizo argentino,pz,1,95,350 grs,
200293,Miel multifloral 300grs,pz,1,65,300 grs,
200294,Miel multifloral 500ml,litro,0.5,100,0.5 litro,
200295,Miel multifloral 1L,litro,1,190,,
200296,Miel melipona en frasco,ml,70,140,70 ml,
200297,Jalea real (estimulante del sistema inmunologico),ml,20,180,20 ml,
200298,Gotero de estracto de propoleo,ml,30,130,30 ml,
200299,Granos de polen ,grs,80,75,80 grs,
200300,Gomitas de propoleo y miel 130grs,grs,130,70,130 grs,
200301,Miel de agave 120ml,ml,120,90,120 ml,
25032101,Miel de agave 300ml,ml,300,155,300 ml,
25032102,Miel de agave 500ml,ml,500,230,500 ml,
25032103,"Fortimiel (jengibre, moringa y curcuma)",ml,350,135,350 ml,
25032104,Miel con nuez o cacao,ml,460,120,460 ml,
25032105,Preparado de miel ,ml,250,110,250 ml,
25032106,Ajonjoli,grs,250,35,250 grs,
25032107,Ajonjoli negro,grs,250,35,250 grs,
25032108,Trigo,kg,1,30,,
25032109,Frijol negro criollo,kg,1,40,,
25032110,Frijol blanco ,kg,1,48,,
25032111,Amaranto reventado,grs,250,35,250 grs,
25032112,Cafe Bolsa 500grs EOC,grs,500,110,500 grs,
25032113,Cafe Bolsa 1kg EOC,kg,1,200,,
25032114,Cafe Natural de 500grs EOC,grs,500,250,500 grs,
200001,Cafe Honey 500grs EOC,grs,500,250,500 grs,
200002,Fruto de niebla cafe Talea de castro Bolsa 250grs,bolsa,1,70,,
200003,Fruto de niebla cafe Talea de castro Bolsa 500grs,bolsa,1,110,,
200004,Fruto de niebla cafe Talea de castro Bolsa 1kg,bolsa,1,200,,
,Harina de trigo,pz,1,50,,
200005,Harina de amaranto,grs,200,48,200 grs,
200006,"Harina de amaranto, avena y ajonjoli",grs,200,48,200 grs,
200007,"Harina de amaranto, avena y almendra",grs,200,48,200 grs,
200008,"Harina de amaranto, avena y ajonjoli negro",grs,200,48,200 grs,
200009,"Harina de amaranto, avena y chocolate artesanal (champurrado)",grs,200,48,200 grs,
200010,Harina para hotcakes de calabaza y arroz ,grs,200,60,200 grs,
200011,Semillas de hortalizas/sobre Albahaca limon,pz,1,38,,
200012,Semillas de hortalizas/sobre arugula,pz,1,38,,
200013,Semillas de hortalizas/sobre Acelga de colores,pz,1,38,,
200014,Semillas de hortalizas/sobre mostaza,pz,1,38,,
250321115,Semillas de hortalizas/sobre cebolla morada,pz,1,38,,
,Semillas de hortalizas/sobre betabel,pz,1,38,,
,Semillas de hortalizas/sobre perejil,pz,1,38,,
